playerID,year,stint,tmID,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks
beviltu01w,2,0,POR,61,0,G,67.0,145,0,1972,[],WE,7,0,001,001,001,11,21,6,10,5,11,5,16,6525,137656,0.0,0.0,10.140682934844891,50.918530351437695,42.436974789915965,65
beviltu01w,3,0,POR,26,0,G,67.0,145,0,1972,[],WE,5,0,001,001,001,16,16,9,7,7,9,8,13,6475,128656,0.0,0.0,9.194915482025207,56.94143167028199,53.278688524590166,25
beviltu01w,4,0,SEA,17,0,G,67.0,145,0,1972,[],WE,5,0,001,001,001,18,16,13,4,5,12,11,13,6850,120857,0.0,0.0,10.091030465215507,48.14077025232403,41.17647058823529,15
beviltu01w,5,0,SEA,20,0,G,67.0,145,0,1972,[],WE,2,1,100,100,100,20,14,13,4,7,10,13,9,6825,134291,6.0,2.0,12.30646701689184,54.28807036833424,49.166666666666664,40
beviltu01w,6,0,IND,51,0,G,67.0,145,0,1972,[],EA,2,1,100,010,001,21,13,14,3,7,10,14,6,6925,142494,2.0,2.0,11.779651930195971,53.48478164975739,52.46913580246913,60
beviltu01w,7,0,IND,67,0,G,67.0,145,0,1972,[],EA,3,1,010,001,001,21,13,12,5,9,8,12,8,6850,122768,0.0,2.0,10.555736447281276,53.523425499231955,50.0,72
beviltu01w,8,0,IND,60,0,G,67.0,145,0,1972,['Kim Perrot Sportsmanship Award'],EA,2,1,100,010,001,21,13,12,5,9,8,12,8,6875,133915,3.0,3.0,10.228076449791804,56.3627254509018,55.00000000000001,58
beviltu01w,9,0,IND,56,0,G,67.0,145,0,1972,[],EA,4,1,010,001,001,17,17,11,6,6,11,12,8,6950,130941,1.0,2.0,10.247411912263628,51.37388445279474,50.0,63
beviltu01w,10,0,IND,67,0,G,67.0,145,0,1972,[],EA,1,1,100,100,010,22,12,14,3,8,9,17,5,6925,134964,6.0,4.0,10.411763772461786,51.03535846845087,47.790055248618785,70
bibbyje01w,1,0,NYL,2,0,G,67.0,139,0,1979,[],EA,1,1,100,100,010,20,12,12,4,8,8,14,7,6425,231962,4.0,3.0,-0.25362333962725214,40.05059021922428,22.22222222222222,3
bibrzag01w,5,0,SAS,23,0,G-F,74.0,168,0,1982,[],WE,7,0,001,001,001,9,25,6,11,3,14,6,16,6875,142717,0.0,0.0,13.799969862776955,48.941147500615614,45.033112582781456,28
bibrzag01w,7,0,SAS,56,0,G-F,74.0,168,0,1982,[],WE,6,0,001,001,001,13,21,6,11,7,10,10,10,6800,125749,0.0,0.0,18.811368735093506,53.99018904044029,50.64308681672026,38
birdsu01w,3,0,SEA,66,0,G,69.0,150,1,1980,[],WE,4,1,010,001,001,17,15,10,6,7,9,10,11,6450,111774,0.0,2.0,16.05181735225539,54.327331007825016,47.86666666666667,58
birdsu01w,4,0,SEA,91,0,G,69.0,150,1,1980,[],WE,5,0,001,001,001,18,16,13,4,5,12,11,13,6850,120857,0.0,0.0,15.541529126204912,52.716136158248815,48.77717391304348,49
birdsu01w,5,0,SEA,84,0,G,69.0,150,1,1980,[],WE,2,1,100,100,100,20,14,13,4,7,10,13,9,6825,134291,6.0,2.0,18.227964393687767,60.40176114474409,56.13496932515337,56
birdsu01w,6,0,SEA,51,0,G,69.0,150,1,1980,[],WE,2,1,010,001,001,20,14,14,3,6,11,13,9,6825,151150,1.0,2.0,15.350542647668322,56.110494512270314,51.87074829931972,35
